abedin life insurance, 0.0013, 2734.7639, 0.0798, 648.7937, 0.4303, 0.1217, 0.691, 0.0298
abedin terrorists, 0.0002, 2845.5125, 0.0789, 705.9466, 0.3732, 0.1386, 0.6442, 0.0325
amish autism, 0.0071, 4344.0872, 0.0467, 36.257, 0.5763, 0.085, 0.7421, 0.0491
amish trump, 0.0076, 6195.6351, 0.0593, 102.0205, 1.0872, 0.152, 0.8344, 0.033
baby wipes warning, 0.0217, 2133.7337, 0.0158, 536.144, 2.5917, 0.071, 0.9369, 0.0138
bill clinton underage sex, 0.005, 3737.6686, 0.0631, 446.5478, 0.6273, 0.1212, 0.7353, 0.0344
blm millbury, 0.0732, 12371.4695, 0.0305, 11.5366, 0.6524, 0.2561, 0.4268, 0.0183
british rule united states, 0.0175, 2553.2235, 0.0506, 78.0979, 0.4031, 0.1407, 0.8048, 0.02
broomstick one, 0.008, 2954.5374, 0.0659, 100.4165, 0.7331, 0.0986, 0.482, 0.049
carolina hillary multiple, 0.003, 3993.2855, 0.0603, 630.5442, 0.4735, 0.1573, 0.7311, 0.0279
chelsea clinton soros, 0.0043, 3781.0202, 0.0662, 1330.0551, 0.6259, 0.0959, 0.4966, 0.0588
clinton halfway house, 0.005, 7443.9557, 0.0648, 1543.6983, 0.7654, 0.1373, 0.586, 0.0268
clinton illegal arms guns, 0.0042, 3880.3234, 0.065, 832.5912, 0.6526, 0.1285, 0.6998, 0.0399
clinton topless, 0.0056, 7319.4455, 0.0626, 1515.6479, 0.6831, 0.1254, 0.5914, 0.0269
comey super pac, 0.0046, 3451.5018, 0.0821, 224.1693, 0.937, 0.1049, 0.3923, 0.0219
cubs 108 stitches , 0.0193, 4332.704, 0.012, 489.3889, 2.6901, 0.0338, 0.0822, 0.0215
cubs extra innings 2014, 0.0186, 5036.5218, 0.0122, 498.6393, 2.7159, 0.0333, 0.0772, 0.0208
dinosaur brain , 0.0239, 32232.8519, 0.0344, 253.7572, 1.0377, 0.2501, 0.8978, 0.0092
dnc lawsuit dies OR death, 0.0068, 6126.0161, 0.0582, 294.5129, 0.6991, 0.1606, 0.5711, 0.0293
donna brazile fired clinton, 0.0029, 3176.6748, 0.0704, 3501.1312, 0.3946, 0.0811, 0.3669, 0.015
dunkin dawkins, 0.0104, 3295.342, 0.0052, 1.6425, 0.5855, 0.1036, 0.9896, 0.0311
ecstasy halloween candy, 0.0121, 9285.0785, 0.0121, 64.0322, 2.004, 0.1167, 0.2354, 0.0362
facebook check in standing rock, 0.014, 10537.7937, 0.0337, 127.5046, 0.5762, 0.198, 0.8613, 0.0209
facebook electoral map, 0.0141, 12803.219, 0.0441, 64.3864, 0.5594, 0.1977, 0.9016, 0.0227
fbi manafort russia OR russian, 0.0063, 4496.4589, 0.0594, 739.2711, 0.6078, 0.0705, 0.3479, 0.0342
fbi reopen hillary, 0.0059, 4478.7047, 0.0736, 847.9901, 0.7232, 0.072, 0.2436, 0.0202
Fifth Amendment lynch, 0.0019, 2398.6686, 0.08, 115.8743, 0.7867, 0.0476, 0.4457, 0.061
hillary cancel lock her up, 0.0056, 4795.8307, 0.0757, 779.6296, 0.8654, 0.0985, 0.2206, 0.0387
hillary paid isis, 0.0025, 3716.5735, 0.0626, 288.7951, 0.6187, 0.1957, 0.6576, 0.03
hillary property nypd, 0.0018, 2815.3572, 0.0728, 140.6667, 0.5963, 0.1564, 0.8644, 0.0326
hillary spirit cooking, 0.0026, 4239.3601, 0.0646, 338.152, 0.6506, 0.2481, 0.8055, 0.0305
hillary treason, 0.0025, 3994.5475, 0.0668, 429.3626, 0.6376, 0.2423, 0.7336, 0.0294
I would like to see people hillary, 0.0059, 4095.6016, 0.0573, 404.9802, 0.8979, 0.0738, 0.4075, 0.0414
jane doe press conference, 0.0157, 6567.7529, 0.0532, 293.6488, 0.7529, 0.0671, 0.4341, 0.0616
lazy American women , 0.0025, 3319.8827, 0.0635, 87.1968, 0.4425, 0.1824, 0.4455, 0.0524
life expectancy obamacare, 0.0057, 4962.476, 0.081, 526.1822, 0.5053, 0.1976, 0.4671, 0.0319
Marijuana legalization increase crime, 0.0131, 2541.8845, 0.0577, 317.6903, 0.5249, 0.1706, 0.231, 0.0236
McConaughey trump, 0.0067, 5681.1442, 0.0608, 164.8635, 1.0733, 0.1412, 0.8146, 0.0294
michelle obama deleted mentions, 0.0075, 7509.3735, 0.0702, 567.0215, 0.5104, 0.1819, 0.3962, 0.0543
obamacare cost, 0.0119, 6444.3662, 0.0947, 289.1217, 0.6221, 0.2742, 0.3403, 0.0247
obama cancel hillary, 0.007, 6821.8506, 0.0699, 429.2049, 0.57, 0.1808, 0.5185, 0.0425
obama golf woods, 0.0091, 7814.6405, 0.0744, 390.4574, 0.5428, 0.1511, 0.3984, 0.0511
obama warren unfollow hillary, 0.0068, 7138.466, 0.0713, 430.4777, 0.5352, 0.2038, 0.5195, 0.0421
patiant fart japan, 0.0336, 13209.0903, 0.0142, 8.3257, 0.5274, 0.2743, 1.0035, 0.0212
pence gay conversion, 0.0144, 8195.729, 0.0406, 530.2134, 1.1126, 0.0559, 0.3429, 0.0279
people absorb energy from others, 0.0079, 13349.26, 0.0529, 277.9971, 0.9393, 0.1396, 0.5351, 0.0341
project veritas fundraising, 0.0, 3270.0286, 0.0286, 1.7143, 0.4571, 0.6, 0.8571, 0.0571
social media Psychiatry, 0.0072, 2977.518, 0.0662, 221.7338, 0.6331, 0.1525, 0.3446, 0.064
standing rock bail out, 0.0144, 10086.2792, 0.0336, 148.8078, 0.6879, 0.151, 0.8371, 0.0219
standing rock buffalo, 0.0131, 9325.6071, 0.0322, 201.8459, 0.523, 0.1981, 0.8306, 0.022
starbucks satanism, 0.0375, 13989.9452, 0.0314, 42.1678, 1.3643, 0.3114, 0.6112, 0.0167
starbucks unity, 0.0385, 18855.4907, 0.0315, 41.4303, 1.3555, 0.3159, 0.6144, 0.0168
sweden christmas lights, 0.0019, 2683.7004, 0.0624, 674.0792, 0.3044, 0.1846, 0.7609, 0.015
tequila health healthy, 0.015, 14627.6927, 0.03, 18.5082, 1.2459, 0.2519, 0.3823, 0.0285
trump deport miranda, 0.0064, 4824.2959, 0.0607, 171.8535, 0.9893, 0.1476, 0.7957, 0.0287
trump kkk newspaper, 0.0066, 4947.2296, 0.0554, 346.5696, 1.2219, 0.1306, 0.7054, 0.0292
trump lawsuit rape, 0.0101, 5881.4675, 0.0538, 296.1857, 0.6707, 0.2832, 0.6161, 0.0265
trump walk of fame damage, 0.0139, 7048.2751, 0.0536, 274.7225, 0.5197, 0.1288, 0.5993, 0.0317
vote trump missisippi church, 0.0059, 4680.5116, 0.0659, 198.2445, 0.8981, 0.1716, 0.6629, 0.0347
white sharks mississippi, 0.018, 14239.9505, 0.0495, 24.5457, 1.1784, 0.1004, 0.5262, 0.0225
zervos paid, 0.0015, 2425.5119, 0.0549, 103.6172, 0.5559, 0.0519, 0.276, 0.0329
