121,one to one,pos
AFAIK,as far as I know,pos
AFK,away from keyboard,pos
AKA,also known as,pos
ARE,acronym-rich environment,pos
ASAP,as soon as possible,pos
A_S_L,age sex location,pos
B4,before,pos
B4N,bye for now,pos
BAK,back at the keyboard,pos
BBIAB,back in a bit,pos
BBL,be back later,pos
BBML,be back much later,pos
BBN,bye bye now,pos
BBS,be back soon,pos
BEG,big evil grin,pos
BF,boyfriend!,pos
BFN,bye for now,pos
BG,big grin,neg
BL,belly laughing,neg
BRB,be right back,pos
BTA,but then again,neg
BTW,by the way,neg
BWL,bursting with laughter,pos
BWTHDIK,but what the heck do I know,neg
C&G,chuckle & grin,neg
CID,crying in disgrace,neg
CNP,continued (in my) next post,pos
CP,chat post,pos
CRBT,crying real big tears,neg
CSG,chuckle snicker grin,neg
CU,see you,pos
CUL,see you later,pos
CUL8ER,see you later,pos
CUZ,because,pos
CYO,see you online,pos
DIKU,do I know you?,pos
DL,dead link,neg
DLTBBB,don't let the bed bugs bite,neg
DQMOT,don't quote me on this,neg
EG,evil grin,neg
EMFBI,excuse me for butting in,neg
EOM,end of message,neg
EOT,end of thread,neg
F2F,face to face,pos
FAQ,frequently asked question(s),pos
FC,fingers crossed,neg
FISH,first in stilI here,neg
FMTYEWTK,far more than you ever wanted to know,neg
FOMCL,falling off my chair laughing,pos
FTBOMH,from the bottom of my heart,pos
FUD,"fear uncertainty, and doubt",neg
FWIW,for what it's worth,pos
FYI,for your information,pos
GA,go ahead :,pos
GAL,get a life :,pos
GD&R,grinning ducking & running,neg
GF,girlfriend,pos
GFN,gone for now,neg
GIWIST,gee I wish I'd said that,pos
GMBO,giggling my butt off,neg
GMT_A,great minds think alike,pos
GOL,giggling out loud,pos
GTRM,going to read mail,pos
GTSY,glad to see you,pos
H&K,hug and kiss,pos
HAGN,have a good night,pos
HHIS,hanging head in shame,neg
HTH,hope this helps,pos
lAC,in any case:,pos
IAE,in any event,pos
IANAL,I am not a lawyer,neg
IC,I see,pos
IDK,I don't know,neg
IHA,I hate acronyms,neg
IIRC,if I remember correctly,pos
ILU,I love you,pos
IM,instant message,pos
IMHO,in my humble opinion,pos
IMing,chatting with someone online,pos
IMNSHO,in my not so humble opinion,neg
IMO,in my op inion,pos
lOW,in other words,pos
IPN,I'm posting naked,neg
IRL,in real life,pos
IWALU,I will always love you,pos
IYSWIM,if you see what I mean,pos
JBOD,just a bunch of disks,pos
JIC,just in case,pos
JK,just kidding,pos
JMO,just my opinion,pos
JTLYK,just to let you know,pos
JW,just wondering,pos
K,okay,pos
KIT,keep in touch,pos
KOC,kiss on cheek,pos
KOL,kiss on lips,pos
KWIM,know what Imean?,pos
L2M,listening to music,pos
L8R,later,pos
LD,later  dude,neg
LDR,long distance relationship,neg
LHM,lord help me,pos
LHU,lord help us,pos
LLTA,lots and lots of thunderous applause,pos
LMIRL,let's meet in real life,pos
LMSO,laughing my socks off,neg
LOL,laughing out loud,neg
LRF,little rubber feet,neg
LSHMBB,laughing so hard my belly isbouncing,neg
LSHMBH,laughing so hard my belly hurts,neg
LSHTTARDML,laughing so hard the tears are running down my leg,neg
LTM,laugh to myself,neg
PMP,peed my pants,neg
POAHF,put on a happy face,pos
POS,parent over shoulder,neg
POTS,plain old telephone service,pos
PU,that stinks,neg
QSL,reply,pos
QSO,conversation,pos
QT,cutie,pos
RL,real life,pos
ROL,raffing out loud,neg
ROTFL,rolling on the floor laughing,neg
RPG,role playing games,neg
RSN,real soon now,neg
RYO,roll your own,neg
S4L,spam for life,neg
SETE,smiling ear to ear,neg
SF,surfer friendly,pos
SHCOON,shoot hot coffee out of nose,neg
SHID,slaps head in disgust,neg
SNERT,snot nosed egotistical rude teenager,neg
SO,significant other,pos
SO_MY,sick of me yet?,neg
SOT,short of time,neg
SOTMG,"short of time, must go",neg
STW,search the web,neg
SUP,what's up,pos
WU,sealed with a kiss,pos
SWAK,sealed with a kiss,pos
SWL,screaming with laughter,neg
SYS,see you soon,pos
TA,thanks again,pos
TAFN,that's all for now,neg
TAW,teachers are watching,neg
TCOB,taking care of business,pos
TCOY,take care of yourself,pos
TFH,thread from hell,neg
TGIF,thank God  it's Friday,pos
THX,thanks,pos
TIA,thanks in advance,pos
TILII,tell it like it is,pos
TLK2UL8R,talk to you Iater,pos
TMI,too much information,pos
TNT,'till next time,pos
TOPCA,'til our paths cross again.,neg
TOY,thinking of you,pos
TPTB,the powers that be,pos
TTFN,ta ta for now,pos
TTT,thought that too,pos
TTYL,talk to you later,pos
TU,thank you,pos
UW,you're welcome,pos
VBG,very big grin,neg
WB,welcome back,neg
WDALYIC,who died and left you in charge?,neg
W_E,whatever,neg
WFM,works for me,pos
WIBNI,wouldn't it be nice if,neg
WTG,way to go,pos
WTGP,want to go private?,neg
WTH,what/who the heck,neg
WUF,where are you from?,pos
WYSIWYG,what you see is what you get,pos
YBS,you'll be sorry,neg
YG,young gentleman,pos
YL,young lady,pos
YM,young man,pos
