keywords,verified_ratio,followers_ratio,default_profile_image_ratio,retweeted_ratio,favourite_ratio,hashtag_ratio,url_ratio,low_to_high_ratio,NegativeRatio,PositiveRatio,NeutralRatio,ProfanityRatio,EmoticonsRatio,AbbreviationsRatio,ComplexSentenceRatio,label
white sharks mississippi, 0.018, 14239.9505, 0.0495, 24.5457, 1.1784, 0.1004, 0.5262, 0.0225, 0.02026, 0.02551, 0.4546, 0.009752, 0.0, 0.0015, 0.5004,FALSE
patiant fart japan, 0.0336, 13209.0903, 0.0142, 8.3257, 0.5274, 0.2743, 1.0035, 0.0212, 0.02303, 0.03366, 0.4438, 0.001771, 0.0, 0.001771, 0.5004,TRUE
clinton halfway house, 0.005, 7443.9557, 0.0648, 1543.6983, 0.7654, 0.1373, 0.586, 0.0268, 0.01135, 0.0018, 0.4869, 0.03185, 5e-05, 0.00105, 0.5,FALSE
clinton topless, 0.0056, 7319.4455, 0.0626, 1515.6479, 0.6831, 0.1254, 0.5914, 0.0269, 0.01105, 0.00225, 0.4867, 0.0377, 5e-05, 0.00125, 0.5,FALSE
trump lawsuit rape, 0.0101, 5881.4675, 0.0538, 296.1857, 0.6707, 0.2832, 0.6161, 0.0265, 0.0131, 0.0049, 0.482, 0.2757, 5e-05, 0.0005, 0.5,TRUE
trump deport miranda, 0.0064, 4824.2959, 0.0607, 171.8535, 0.9893, 0.1476, 0.7957, 0.0287, 0.01505, 0.00595, 0.479, 0.04185, 5e-05, 0.0005, 0.5,FALSE
standing rock buffalo, 0.0131, 9325.6071, 0.0322, 201.8459, 0.523, 0.1981, 0.8306, 0.022, 0.0068, 0.0209, 0.4723, 0.0002, 0.0, 0.00025, 0.5,TRUE
vote trump missisippi church, 0.0059, 4680.5116, 0.0659, 198.2445, 0.8981, 0.1716, 0.6629, 0.0347, 0.0291, 0.01055, 0.4604, 0.0315, 5e-05, 0.00185, 0.5,TRUE
hillary cancel lock her up, 0.0056, 4795.8307, 0.0757, 779.6296, 0.8654, 0.0985, 0.2206, 0.0387, 0.03625, 0.02505, 0.4387, 0.0458, 0.0, 0.0008, 0.5,FALSE
blm millbury, 0.0732, 12371.4695, 0.0305, 11.5366, 0.6524, 0.2561, 0.4268, 0.0183, 0.1651, 0.06116, 0.2752, 0.006116, 0.0, 0.003058, 0.5015,TRUE
social media Psychiatry, 0.0072, 2977.518, 0.0662, 221.7338, 0.6331, 0.1525, 0.3446, 0.064, 0.02519, 0.009716, 0.4653, 0.02303, 0.0, 0.0, 0.5002,TRUE
cubs 108 stitches , 0.0193, 4332.704, 0.012, 489.3889, 2.6901, 0.0338, 0.0822, 0.0215, 0.006401, 0.0143, 0.4794, 0.0004086, 0.0, 0.001226, 0.5001,TRUE
obama cancel hillary, 0.007, 6821.8506, 0.0699, 429.2049, 0.57, 0.1808, 0.5185, 0.0425, 0.02045, 0.00495, 0.4746, 0.0053, 0.0002, 0.00115, 0.5,FALSE
fbi reopen hillary, 0.0059, 4478.7047, 0.0736, 847.9901, 0.7232, 0.072, 0.2436, 0.0202, 0.0209, 0.0219, 0.4572, 0.00075, 0.0, 0.00155, 0.5,TRUE
dunkin dawkins, 0.0104, 3295.342, 0.0052, 1.6425, 0.5855, 0.1036, 0.9896, 0.0311, 0.007792, 0.01039, 0.4831, 0.01039, 0.0, 0.01818, 0.5013,FALSE
british rule united states, 0.0175, 2553.2235, 0.0506, 78.0979, 0.4031, 0.1407, 0.8048, 0.02, 0.008035, 0.01656, 0.4755, 0.0007305, 0.0, 0.003896, 0.5001,FALSE
michelle obama deleted mentions, 0.0075, 7509.3735, 0.0702, 567.0215, 0.5104, 0.1819, 0.3962, 0.0543, 0.01955, 0.005405, 0.4751, 0.004871, 0.0002669, 0.0008007, 0.5,FALSE
McConaughey trump, 0.0067, 5681.1442, 0.0608, 164.8635, 1.0733, 0.1412, 0.8146, 0.0294, 0.01635, 0.0057, 0.478, 0.037, 5e-05, 0.00055, 0.5,FALSE
bill clinton underage sex, 0.005, 3737.6686, 0.0631, 446.5478, 0.6273, 0.1212, 0.7353, 0.0344, 0.0085, 0.00555, 0.486, 0.1097, 5e-05, 0.0009, 0.5,FALSE
trump walk of fame damage, 0.0139, 7048.2751, 0.0536, 274.7225, 0.5197, 0.1288, 0.5993, 0.0317, 0.0323, 0.0169, 0.4508, 0.1299, 0.0, 0.0007, 0.5,TRUE
Fifth Amendment lynch, 0.0019, 2398.6686, 0.08, 115.8743, 0.7867, 0.0476, 0.4457, 0.061, 0.02288, 0.00572, 0.4719, 0.001907, 0.0, 0.0009533, 0.5005,FALSE
chelsea clinton soros, 0.0043, 3781.0202, 0.0662, 1330.0551, 0.6259, 0.0959, 0.4966, 0.0588, 0.00885, 0.0031, 0.4881, 0.02045, 5e-05, 0.00195, 0.5,FALSE
comey super pac, 0.0046, 3451.5018, 0.0821, 224.1693, 0.937, 0.1049, 0.3923, 0.0219, 0.09514, 0.08852, 0.3164, 0.002966, 0.0, 0.0009126, 0.5001,FALSE
dnc lawsuit dies OR death, 0.0068, 6126.0161, 0.0582, 294.5129, 0.6991, 0.1606, 0.5711, 0.0293, 0.03787, 0.0125, 0.4497, 0.1701, 7.441e-05, 0.0006697, 0.5,TRUE
donna brazile fired clinton, 0.0029, 3176.6748, 0.0704, 3501.1312, 0.3946, 0.0811, 0.3669, 0.015, 0.00685, 0.00325, 0.4899, 0.00395, 0.0, 0.00025, 0.5,TRUE
starbucks unity, 0.0385, 18855.4907, 0.0315, 41.4303, 1.3555, 0.3159, 0.6144, 0.0168, 0.06537, 0.1198, 0.3149, 0.005004, 0.0001065, 0.01043, 0.5001,TRUE
project veritas fundraising, 0.0, 3270.0286, 0.0286, 1.7143, 0.4571, 0.6, 0.8571, 0.0571, 0.01449, 0.0, 0.4928, 0.0, 0.0, 0.0, 0.5072,TRUE
tequila health healthy, 0.015, 14627.6927, 0.03, 18.5082, 1.2459, 0.2519, 0.3823, 0.0285, 0.01425, 0.1448, 0.3413, 0.005251, 0.0, 0.002251, 0.5004,FALSE
carolina hillary multiple, 0.003, 3993.2855, 0.0603, 630.5442, 0.4735, 0.1573, 0.7311, 0.0279, 0.0098, 0.00285, 0.4874, 0.0037, 0.0, 0.00085, 0.5,FALSE
jane doe press conference, 0.0157, 6567.7529, 0.0532, 293.6488, 0.7529, 0.0671, 0.4341, 0.0616, 0.08572, 0.007849, 0.4065, 0.2587, 0.0, 0.0001744, 0.5,TRUE
sweden christmas lights, 0.0019, 2683.7004, 0.0624, 674.0792, 0.3044, 0.1846, 0.7609, 0.015, 0.005198, 0.005198, 0.4897, 0.0008317, 0.0002079, 0.0007277, 0.5001,FALSE
amish trump, 0.0076, 6195.6351, 0.0593, 102.0205, 1.0872, 0.152, 0.8344, 0.033, 0.0153, 0.0105, 0.4742, 0.0354, 5e-05, 0.00065, 0.5,FALSE
trump kkk newspaper, 0.0066, 4947.2296, 0.0554, 346.5696, 1.2219, 0.1306, 0.7054, 0.0292, 0.02705, 0.01195, 0.461, 0.0408, 5e-05, 0.0008, 0.5,TRUE
obama warren unfollow hillary, 0.0068, 7138.466, 0.0713, 430.4777, 0.5352, 0.2038, 0.5195, 0.0421, 0.0205, 0.00485, 0.4747, 0.0053, 0.0002, 0.0011, 0.5,FALSE
ecstasy halloween candy, 0.0121, 9285.0785, 0.0121, 64.0322, 2.004, 0.1167, 0.2354, 0.0362, 0.1309, 0.05639, 0.3132, 0.004028, 0.0, 0.001007, 0.5005,FALSE
dinosaur brain , 0.0239, 32232.8519, 0.0344, 253.7572, 1.0377, 0.2501, 0.8978, 0.0092, 0.005594, 0.01272, 0.4817, 0.0004387, 0.0, 0.0, 0.5001,TRUE
amish autism, 0.0071, 4344.0872, 0.0467, 36.257, 0.5763, 0.085, 0.7421, 0.0491, 0.006142, 0.01766, 0.4763, 0.001535, 0.0, 0.0004606, 0.5001,FALSE
life expectancy obamacare, 0.0057, 4962.476, 0.081, 526.1822, 0.5053, 0.1976, 0.4671, 0.0319, 0.022, 0.02475, 0.4533, 0.00125, 0.00015, 0.007, 0.5,FALSE
lazy American women , 0.0025, 3319.8827, 0.0635, 87.1968, 0.4425, 0.1824, 0.4455, 0.0524, 0.06471, 0.008498, 0.4268, 0.006553, 0.0001024, 0.003891, 0.5001,FALSE
obama golf woods, 0.0091, 7814.6405, 0.0744, 390.4574, 0.5428, 0.1511, 0.3984, 0.0511, 0.02067, 0.005753, 0.4736, 0.005256, 0.0002841, 0.0009944, 0.5,FALSE
people absorb energy from others, 0.0079, 13349.26, 0.0529, 277.9971, 0.9393, 0.1396, 0.5351, 0.0341, 0.0243, 0.01685, 0.4589, 0.0151, 0.0, 0.001, 0.5,FALSE
hillary treason, 0.0025, 3994.5475, 0.0668, 429.3626, 0.6376, 0.2423, 0.7336, 0.0294, 0.0191, 0.00415, 0.4768, 0.00395, 0.0, 0.0015, 0.5,FALSE
hillary spirit cooking, 0.0026, 4239.3601, 0.0646, 338.152, 0.6506, 0.2481, 0.8055, 0.0305, 0.0209, 0.007, 0.4721, 0.00695, 0.0, 0.00225, 0.5,FALSE
hillary paid isis, 0.0025, 3716.5735, 0.0626, 288.7951, 0.6187, 0.1957, 0.6576, 0.03, 0.0144, 0.00295, 0.4827, 0.00535, 0.0, 0.001, 0.5,FALSE
starbucks satanism, 0.0375, 13989.9452, 0.0314, 42.1678, 1.3643, 0.3114, 0.6112, 0.0167, 0.06448, 0.1192, 0.3164, 0.004769, 0.0001084, 0.01051, 0.5001,FALSE
baby wipes warning, 0.0217, 2133.7337, 0.0158, 536.144, 2.5917, 0.071, 0.9369, 0.0138, 0.004936, 0.02665, 0.4689, 0.0, 0.0, 0.01876, 0.5005,FALSE
clinton illegal arms guns, 0.0042, 3880.3234, 0.065, 832.5912, 0.6526, 0.1285, 0.6998, 0.0399, 0.04285, 0.00335, 0.4538, 0.02055, 0.0012, 0.0048, 0.5,FALSE
facebook electoral map, 0.0141, 12803.219, 0.0441, 64.3864, 0.5594, 0.1977, 0.9016, 0.0227, 0.002494, 0.01976, 0.4778, 6.234e-05, 0.0, 6.234e-05, 0.5,FALSE
cubs extra innings 2014, 0.0186, 5036.5218, 0.0122, 498.6393, 2.7159, 0.0333, 0.0772, 0.0208, 0.006666, 0.01486, 0.4785, 0.0004166, 0.0, 0.00125, 0.5001,TRUE
I would like to see people hillary, 0.0059, 4095.6016, 0.0573, 404.9802, 0.8979, 0.0738, 0.4075, 0.0414, 0.0344, 0.02525, 0.4404, 0.007, 0.0001, 0.00755, 0.5,FALSE
hillary property nypd, 0.0018, 2815.3572, 0.0728, 140.6667, 0.5963, 0.1564, 0.8644, 0.0326, 0.00955, 0.0028, 0.4877, 0.09105, 5e-05, 0.00055, 0.5,FALSE
